Project ID,Project Name,Area Path,Depth,Node ID,Work Item Count,Match Reason
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Active Roles\Server\Documentation,3,5854,,area_path ~ (?i)\\Documentation\b
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Active Roles\Business\Documentation,3,5750,,area_path ~ (?i)\\Documentation\b
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Authentication Services\Technical writers,2,6669,,area_path ~ (?i)\\Technical[\s_]Writer
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Defender\AD FS Adapter\Documentation,3,1857,,area_path ~ (?i)\\Documentation\b
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Defender\Defender Core\Documentation,3,483,,area_path ~ (?i)\\Documentation\b
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Defender\Documentation,2,4074,,area_path ~ (?i)\\Documentation\b
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,Identity Manager\Identity Manager Core\Documentation,3,9263,,area_path ~ (?i)\\Documentation\b
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,Identity Manager\Identity Manager Web\Documentation,3,6813,,area_path ~ (?i)\\Documentation\b
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Log Management\Documentation\DOC-syslog-ng Open Source Edition,3,8346,,area_path ~ (?i)\\DOC-
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Log Management\Documentation\DOC-syslog-ng Premium Edition,3,8347,,area_path ~ (?i)\\DOC-
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Log Management\Documentation\DOC-syslog-ng Store Box,3,8348,,area_path ~ (?i)\\DOC-
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Log Management\Documentation\syslog-ng new,3,8349,,area_path ~ (?i)\\Documentation\\
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,OID\Engineering\OneLogin\OL Archive\TechComm,5,11180,,area_path ~ (?i)\\TechComm
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,OID\Engineering\OneLogin\TechComm,4,11179,,area_path ~ (?i)\\TechComm
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,OID\TechComm,2,12301,,area_path ~ (?i)\\TechComm
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,OneLogin\Documentation,2,9835,,area_path ~ (?i)\\Documentation\b
