Reference Name,Display Name,Description,Type,Usage,Is Queryable,Can Sort By,Is Identity,Is Picklist,Picklist ID,Is Picklist Suggested,Read Only,Is Locked,Supported Operations Count,URL
Custom.1idInitiative,1id Initiative,Alignment with 1id Initiative,string,workItem,True,True,False,True,29807158-22b9-44b2-8ccf-b6a302ce45f0,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.1idInitiative
Microsoft.VSTS.Common.AcceptanceCriteria,Acceptance Criteria,,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.AcceptanceCriteria
Microsoft.VSTS.CodeReview.AcceptedBy,Accepted By,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.AcceptedBy
Microsoft.VSTS.CodeReview.AcceptedDate,Accepted Date,,dateTime,workItem,True,True,False,False,,False,False,False,14,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.AcceptedDate
Microsoft.VSTS.Common.ActivatedBy,Activated By,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.ActivatedBy
Microsoft.VSTS.Common.ActivatedDate,Activated Date,,dateTime,workItem,True,True,False,False,,False,False,False,14,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.ActivatedDate
Custom.ActiveRoles,Active Roles,,boolean,workItem,True,True,False,False,,False,False,False,5,https://dev.azure.com/1id/_apis/wit/fields/Custom.ActiveRoles
Custom.ActiveRolesVertical,Active Roles Vertical,,boolean,workItem,True,True,False,False,,False,False,False,5,https://dev.azure.com/1id/_apis/wit/fields/Custom.ActiveRolesVertical
Microsoft.VSTS.Common.Activity,Activity,Type of work involved,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.Activity
Microsoft.VSTS.CMMI.ActualAttendee1,Actual Attendee 1,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee1
Microsoft.VSTS.CMMI.ActualAttendee2,Actual Attendee 2,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.ActualAttendee2
