Project ID,Project Name,Area Path,Depth,Work Item Type,State,Count,Min Created Date,Max Created Date,Min Changed Date,Max Changed Date,Total Area Count
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS,1,Bug,New,1,2026-03-20,2026-03-20,2026-03-20,2026-03-20,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive,2,Bug,Removed,1,2025-09-03,2025-09-03,2025-09-03,2025-09-03,45
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive,2,Epic,Done,40,2022-10-07,2023-06-16,2024-04-18,2024-06-28,45
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive,2,Epic,Removed,2,2023-06-16,2023-06-16,2024-04-18,2024-04-18,45
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive,2,Feature,New,2,2020-01-28,2023-08-16,2023-11-09,2024-12-20,45
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Bug,Done,264,2017-06-07,2023-09-05,2022-12-02,2024-06-28,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Bug,Removed,8,2018-12-10,2023-09-04,2022-12-07,2024-02-29,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Feature,Done,81,2017-04-03,2023-01-24,2023-11-16,2025-10-15,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Feature,New,33,2017-06-13,2023-09-22,2023-03-08,2025-04-14,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Feature,Removed,40,2017-06-14,2022-03-22,2019-04-09,2024-06-28,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Product Backlog Item,Approved,3,2021-07-22,2023-03-02,2025-06-02,2025-06-02,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Product Backlog Item,Done,744,2017-02-08,2023-09-05,2022-12-02,2025-10-03,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Product Backlog Item,New,59,2017-08-10,2023-04-04,2022-12-02,2025-06-02,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Product Backlog Item,Removed,140,2016-11-07,2023-02-14,2017-06-15,2024-06-28,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Task,Done,8,2017-06-06,2022-11-08,2017-06-06,2022-12-02,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Analytics,3,Task,To Do,3,2021-08-31,2021-10-28,2022-12-02,2023-12-18,1383
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Bug,Done,251,2016-04-12,2023-09-08,2022-12-02,2025-10-15,2358
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Bug,Removed,9,2016-05-02,2023-08-12,2022-12-02,2024-06-28,2358
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Feature,Done,64,2017-09-22,2023-06-07,2022-12-02,2024-06-28,2358
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Feature,New,35,2017-08-16,2023-09-28,2022-12-02,2025-04-14,2358
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Feature,Removed,7,2017-07-12,2020-12-02,2022-12-02,2023-09-15,2358
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Product Backlog Item,Approved,5,2021-05-11,2022-08-30,2022-12-02,2022-12-02,2358
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,SPS\Archive\Audit,3,Product Backlog Item,Done,412,2017-08-03,2023-09-08,2022-12-02,2024-06-28,2358
