Project ID,Project Name,Distinct Area Paths,Distinct Work Item Types,Distinct States,Total Work Item Count,Min Created Date,Max Created Date,Min Changed Date,Max Changed Date
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,66,11,16,44536,2015-03-03,2026-03-23,2015-09-23,2026-03-23
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,2,7,11,5725,2013-09-09,2026-03-23,2019-11-28,2026-03-23
3fd33410-c239-48f0-b75c-5e4d9ae493ac,Blackbird,1,4,2,27,2018-04-10,2018-05-18,2018-04-10,2018-11-09
bb307e8c-0b48-431a-9793-987a51373fe2,Capacity Testing,11,8,10,2545,2017-12-05,2023-04-03,2017-12-22,2023-04-03
bd267a71-a93f-425c-bf32-2d7688de90d3,Common,9,5,8,659,2018-08-31,2026-03-05,2018-09-05,2026-03-05
4d2226bd-8990-4c1a-980b-c25eb4dad5b2,DBO,1,5,6,3795,2015-04-28,2026-03-23,2022-11-18,2026-03-23
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,60,10,14,26130,2014-06-06,2026-03-23,2018-11-01,2026-03-23
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,3,8,8,1879,2016-12-19,2023-11-16,2020-02-21,2023-11-16
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,1,2,4,106,2025-03-13,2026-03-05,2025-03-13,2026-03-05
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,112,12,17,82189,2014-04-15,2026-03-23,2016-03-15,2026-03-23
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,14,8,10,14073,2015-05-06,2026-03-23,2022-11-22,2026-03-23
d7b91afd-e7d2-4ae0-8d0c-96ef0399403d,Mainframe,1,5,6,1045,2021-04-07,2026-02-02,2021-04-08,2026-02-26
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,55,11,15,85470,2013-06-12,2026-03-23,2013-11-18,2026-03-23
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,2,4,8,303,2024-08-02,2026-03-20,2024-08-02,2026-03-23
a9113621-04e8-44df-a0d0-c624b9245634,Operations,5,7,8,489,2017-05-30,2026-01-12,2018-09-07,2026-01-16
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,13,10,14,14884,2015-07-21,2026-03-20,2015-08-03,2026-03-20
a5f118e8-f2a6-430e-9c05-8d9c709a2342,PgM Sandbox,1,1,1,1,2025-11-21,2025-11-21,2025-11-21,2025-11-21
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,2,9,12,1795,2017-02-27,2026-02-18,2019-11-29,2026-02-24
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,2,10,13,3895,2021-10-14,2026-03-17,2021-10-14,2026-03-23
6e0ac7dc-0580-45ee-83a0-ecbef007df35,Raven,1,1,1,3,2018-04-26,2018-04-26,2018-04-26,2018-11-09
05a23854-c1cb-4d00-b640-03b432e5e9ac,Rename Test,5,5,6,549,2019-11-25,2025-10-10,2019-12-04,2026-03-03
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,3,10,16,31535,2013-04-09,2026-03-23,2019-11-28,2026-03-23
1a1ca370-f983-411b-877c-dc06f91b6e73,Sandbox - OID,3,4,1,5,2026-01-12,2026-01-13,2026-01-12,2026-03-03
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,0,0,0,0,,,,
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,1,4,1,4,2026-03-18,2026-03-18,2026-03-23,2026-03-23
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,9,7,8,32180,2018-04-25,2026-02-06,2026-01-29,2026-03-03
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,1,6,9,2782,2020-01-16,2022-01-05,2020-01-16,2024-06-28
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,34,6,8,39576,2015-04-22,2026-03-23,2015-05-04,2026-03-23
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,218,13,23,99758,2016-01-05,2026-03-23,2016-02-01,2026-03-23
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,0,0,0,0,,,,
c7aa2319-b458-4975-9827-191f86a39ad5,TechComm,9,4,8,2527,2015-05-20,2026-03-20,2019-02-14,2026-03-23
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,8,4,6,161,2020-06-17,2020-11-20,2020-06-17,2020-11-20
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,5,9,10,1227,2021-02-01,2026-02-11,2021-02-08,2026-02-12
50f8d0c0-98e7-4b4a-858b-57740ed84a97,Virtual Directory Server,7,6,4,244,2014-10-22,2022-06-30,2014-10-30,2023-05-03
