Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles,1,498,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Build and Setup,2,2017,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\AutoTests,2,2018,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\External,2,2019,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server,2,2020,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Service,3,2021,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Add-ons,3,2022,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Add-ons\Office 365,4,2023,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Add-ons\Lync,4,2024,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Extensions,3,2025,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Extensions\ERFM,4,2026,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Extensions\Lync,4,2027,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions,3,2028,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Add-On Manager,4,2029,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Diagnostic Tools,4,2030,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Diagnostic Tools\Directory Changes Monitor,5,2031,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Diagnostic Tools\Log Viewer,5,2032,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Diagnostic Tools\System Checker,5,2033,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Outlook Add-in,4,2034,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Reporting,4,2035,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Reporting\Collector,5,2036,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Reporting\Report Pack,5,2037,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\SCOM Pack,4,2038,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\SPML Provider,4,2039,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Resource Usage Calculator,4,2040,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Administrative Template,4,2041,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Solutions\Configuration Transfer Wizard,4,2042,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\ADSI Provider,3,2043,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\API,3,5311,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\API\REST,4,5312,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Server\Documentation,3,5854,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Client,2,2044,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Client\Language Pack,3,2045,,
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Area,Active Roles\Client\Configuration Center,3,2046,,
