Project ID,Project Name,Team ID,Team Name,Bug Behavior,Bug Behavior Label,Working Days,Backlog Iteration Path,Default Iteration Path,Default Iteration Macro,Initiatives Visible,Epics Visible,Features Visible,Stories Visible
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,85427298-0b79-4fe7-8900-fe0b688f1fe2,Active Roles Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 262,@currentIteration,False,True,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e24ea1d-4bfc-4cae-9e19-a1b74e8e022e,ArchitectureBoard,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e1f1993-5bd2-4383-9417-ee32039b19b7,BUD Escalation,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 201,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,056730a2-5806-43ac-8251-8ad42b541145,BUD Team1,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 260,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,f5a5ee70-17b3-4274-99c6-52849d165b90,Improvement Ideas,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,504b518c-f9fe-4652-b48b-8cfb37d186f4,QAReviewTeam,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,ceaf8342-c29c-4886-8f24-abbc7418d48e,Security Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 220,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,fd000517-bc60-4294-82f7-ec883819f293,Team1,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 314,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,161fb630-0458-442f-9a4c-e33887cf4417,Team2,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 314,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,6504e74a-baf9-408b-baa9-ef7279e5350c,TeamDynamicGroups,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,574ae1ab-418b-4cd9-a628-f1e70d12510b,TeamIntegration,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1dad520f-6e06-468b-acb8-19d7453c92c3,TeamInterface,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 314,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,2ac685d4-e0dc-423f-ad01-9c133caf2020,Technical Writers,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,02759247-7694-4e37-90ac-aef1ca8bf17f,TestReviewTeam,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 220,@currentIteration,False,False,True,True
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,5f84c89a-157f-4e36-ba97-adae96ecd26c,UX,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,True,True,True
