Project ID,Project Name,WIT Name,State Name,State Category,State Order
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Task,To Do,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Task,In Progress,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Task,Done,Completed,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Task,Removed,Removed,4
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,New,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Approved,Proposed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Committed,InProgress,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Implementing,InProgress,4
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Ready for Test,InProgress,5
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Testing on DevTest,InProgress,6
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Tested on DevTest,InProgress,7
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Done,Completed,8
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Bug,Removed,Removed,9
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Code Review Request,Requested,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Code Review Request,Closed,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Code Review Response,Requested,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Code Review Response,Accepted,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Code Review Response,Closed,Completed,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Epic,New,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Epic,In Progress,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Epic,Done,Completed,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Epic,Removed,Removed,4
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,New,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,In Progress,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Prioritized,InProgress,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Grooming,InProgress,4
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Awaiting Architecture Review,InProgress,5
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Reviewed,InProgress,6
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Implementing,InProgress,7
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Completed,InProgress,8
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Done,Completed,9
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feature,Removed,Removed,10
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feedback Request,Active,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feedback Request,Closed,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feedback Request,Removed,Removed,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feedback Response,Active,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Feedback Response,Closed,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Impediment,Open,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Impediment,Closed,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,New,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Approved,Proposed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Committed,InProgress,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Implementing,InProgress,4
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Ready for Test,InProgress,5
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Testing on DevTest,InProgress,6
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Tested on DevTest,InProgress,7
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Tested on Stage,InProgress,8
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Done,Completed,9
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Product Backlog Item,Removed,Removed,10
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Shared Steps,Active,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Shared Steps,Closed,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Shared Parameter,Active,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Shared Parameter,Inactive,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Case,Design,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Case,Ready,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Case,Closed,Completed,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Plan,Active,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Plan,Inactive,Completed,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Suite,In Planning,InProgress,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Suite,In Progress,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Test Suite,Completed,Completed,3
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Initiative,New,Proposed,1
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Initiative,Committed,InProgress,2
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Initiative,Done,Completed,3
