Project ID,Project Name,WIT Name,State Name,State Category,State Order
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Task,To Do,Proposed,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Task,In Progress,InProgress,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Task,Blocked,InProgress,3
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Task,Done,Completed,4
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Task,Removed,Removed,5
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,New,Proposed,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Approved,Proposed,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Development,InProgress,3
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Ready to test,InProgress,4
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Document,InProgress,5
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Blocked,InProgress,6
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Done,Completed,7
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Bug,Removed,Removed,8
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Code Review Request,Requested,Proposed,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Code Review Request,Closed,Completed,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Code Review Response,Requested,Proposed,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Code Review Response,Accepted,InProgress,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Code Review Response,Closed,Completed,3
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Epic,New,Proposed,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Epic,In Progress,InProgress,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Epic,Done,Completed,3
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Epic,Removed,Removed,4
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feature,New,Proposed,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feature,In Progress,InProgress,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feature,Blocked,InProgress,3
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feature,Done,Completed,4
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feature,Removed,Removed,5
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feedback Request,Active,InProgress,1
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feedback Request,Closed,Completed,2
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feedback Request,Removed,Removed,3
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Feedback Response,Active,InProgress,1
