Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender,1,476,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter,2,481,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Documentation,3,1857,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Setup,3,1858,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Testing,3,1859,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Build,3,1860,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Configuration,3,1861,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Login,3,1862,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\AD FS Adapter\Team 2,3,6300,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Defender Core,2,1855,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Defender Core\Build,3,482,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Defender Core\Documentation,3,483,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Defender Core\Testing,3,1852,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Defender Core\Setup,3,1853,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Documentation,2,4074,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Build Process,2,4075,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Deployment,2,4076,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Deployment\Install,3,4077,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Deployment\Change,3,4078,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Deployment\Uninstall,3,4079,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Deployment\Upgrade,3,4080,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Deployment\Autorun,3,4081,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\External,2,4082,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Licensing,2,4083,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens,2,4084,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\Android,3,4085,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\BlackBerry,3,4086,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\Windows Phone,3,4087,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\iOS,3,4088,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\Windows,3,4089,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\Java,3,4090,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\E-Mail,3,4091,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\SMS,3,4092,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\GrIDsure,3,4093,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\VIP Credentials,3,4094,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\Google Authenticator,3,4095,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Soft Tokens\Authy,3,4096,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Security Server,2,4098,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Administration Console,2,4099,,
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,Area,Defender\Management Portal,2,4100,,
