Project ID,Project Name,Team ID,Team Name,Board ID,Board Name,Column ID,Column Name,Column Order,State Mapping,WIP Limit,Split Column
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,,Defender_AD_FS_Adapter_Team_Backlog,12d55b28-196b-45c8-864e-6f26df37ca0d,Backlog items,9e1aeb76-d765-4d54-8ee8-5858f2a27ce5,New,1,New,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,,Defender_AD_FS_Adapter_Team_Backlog,12d55b28-196b-45c8-864e-6f26df37ca0d,Backlog items,66ba52ee-72bc-4396-8700-a8077a0db4f6,Approved,2,Approved,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,,Defender_AD_FS_Adapter_Team_Backlog,12d55b28-196b-45c8-864e-6f26df37ca0d,Backlog items,87938cc2-ecb7-49bf-90ed-1340dbd80128,Committed,3,Committed,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,,Defender_AD_FS_Adapter_Team_Backlog,12d55b28-196b-45c8-864e-6f26df37ca0d,Backlog items,50458723-cb96-4f18-9743-41f18bc8da3f,Done,4,Done,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,d062eb24-9047-4b34-99b0-bc34c843ccbc,Epics,d8c13af5-a2f3-4852-a68f-d2219092df6f,New,1,New,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,d062eb24-9047-4b34-99b0-bc34c843ccbc,Epics,b3d204d1-e813-484b-b202-2859fa801276,In Progress,2,In Progress,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,d062eb24-9047-4b34-99b0-bc34c843ccbc,Epics,22e99a26-dac6-4912-b662-3ecbc1aaf981,Done,3,Done,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,49e80efa-bd1d-42aa-9605-f22e2442a937,New,1,New,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,cc58913c-d64c-4e94-9b82-cb7fbc92e09e,In Progress,2,In Progress,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,214023ae-6540-406c-9670-f3f3c145ac9a,Prioritized,3,Prioritized,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,29dac29a-6f39-4b0b-ba35-90981ae9aa10,Grooming,4,Grooming,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,5c03d925-27d8-455f-be77-9cbf80d46863,Awaiting Architecture Review,5,Awaiting Architecture Review,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,f88adfba-beb2-4b1f-bde2-cbee3fa18016,Reviewed,6,Reviewed,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,4e0d221f-cf07-47ae-b139-27f7a162766b,Implementing,7,Implementing,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,c1ecd094-6a4b-465e-bb36-4af8e672bbc6,Completed,8,Completed,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,68e1df65-c843-438d-83b9-20adabdbb6df,Features,21c010fa-9973-4b62-b175-85a4fc69a0c9,Done,9,Done,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,ef13e48f-8797-480f-ac8a-19c4427a463e,Initiatives,0bf79e9d-e915-4e42-bc60-ab7877fbd6b4,New,1,New,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,ef13e48f-8797-480f-ac8a-19c4427a463e,Initiatives,fe3080c8-d653-4ca5-b689-87849845894b,Committed,2,Committed,5,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,f9b61bae-8d0e-4d4e-af44-85b7ed85778c,Defender AD FS Adapter Team,ef13e48f-8797-480f-ac8a-19c4427a463e,Initiatives,4656fabf-182e-4694-81ff-fab2e1929b8f,Done,3,Done,0,False
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,,Defender_Team_Backlog,6b484df9-fcbc-4b91-9b85-607abb4ee3bb,Backlog items,7dd36bb5-516a-41a9-a42e-c80fdf8b0271,New,1,New,0,False
