Project ID,Project Name,Team ID,Team Name,Board ID,Board Name,Column ID,Column Name,Column Order,State Mapping,WIP Limit,Split Column
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,,DTox_Team_Backlog,57190356-7873-4e26-a41b-cbfd1b45ca4b,Backlog items,43a9313c-03bc-4c0e-9698-1970115b4364,New,1,New,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,,DTox_Team_Backlog,57190356-7873-4e26-a41b-cbfd1b45ca4b,Backlog items,a2c39355-548d-46e4-998e-0a85c2adc0fa,Approved,2,Approved,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,,DTox_Team_Backlog,57190356-7873-4e26-a41b-cbfd1b45ca4b,Backlog items,0fceb613-a53d-4bf7-8c8d-c247fd7d96b1,Committed,3,Committed,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,,DTox_Team_Backlog,57190356-7873-4e26-a41b-cbfd1b45ca4b,Backlog items,f20c97ea-576e-40e2-afd8-38ec5526a5fa,Done,4,Done,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,71db7e90-4f9f-4502-bbb0-df40ec5f073f,Epics,c3be3032-e847-421c-a833-deaf0c513574,New,1,New,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,71db7e90-4f9f-4502-bbb0-df40ec5f073f,Epics,07e84733-66f5-4bd2-83fd-c916c46b9063,In Progress,2,In Progress,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,71db7e90-4f9f-4502-bbb0-df40ec5f073f,Epics,05fadb99-d307-4f4b-8fe1-f6f42a494c81,Done,3,Done,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,250230f4-107f-4349-90cd-825efba0afe4,New,1,New,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,395b865f-45a6-46fa-8868-3a99506b20b6,In Progress,2,In Progress,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,b6818e6f-293f-44f4-87f8-66e274179d64,Prioritized,3,Prioritized,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,89586fe0-4bce-4d67-b6f4-2682bedb1b68,Grooming,4,Grooming,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,25313ea5-188b-4c98-a3c1-dd0a05863532,Awaiting Architecture Review,5,Awaiting Architecture Review,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,513fa835-ceed-4f44-8e0d-861e6bf20730,Reviewed,6,Reviewed,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,67279a85-7184-4942-9d4b-92467e7756e4,Implementing,7,Implementing,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,c4c40aeb-2fd2-45b7-9a14-3398fa6e2cff,Completed,8,Completed,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,16a2d012-49d2-4ab5-ac32-16bcd002e1db,Features,34d1cf27-0a67-476a-bd49-4556804f8524,Done,9,Done,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,1817b4ba-64b5-4b27-a6d8-41ba53e7a578,Initiatives,4ec18f64-1849-45bd-b78d-9ceaf544be01,New,1,New,0,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,1817b4ba-64b5-4b27-a6d8-41ba53e7a578,Initiatives,f8bc504a-2e77-454a-a905-96230ce0e542,Committed,2,Committed,5,False
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,58a4f1d9-15a9-418c-a06f-804550c90acf,DTox Team,1817b4ba-64b5-4b27-a6d8-41ba53e7a578,Initiatives,acd2a214-a589-418d-89ad-e98ad5924258,Done,3,Done,0,False
