Project ID,Project Name,WIT Name,State Name,State Category,State Order
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Task,To Do,Proposed,1
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Task,In Progress,InProgress,2
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Task,Done,Completed,3
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Task,Removed,Removed,4
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,New,Proposed,1
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Approved,Proposed,2
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Committed,InProgress,3
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Implementing,InProgress,4
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Ready for Test,InProgress,5
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Testing on DevTest,InProgress,6
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Tested on DevTest,InProgress,7
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Tested on Stage,InProgress,8
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Done,Completed,9
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Bug,Removed,Removed,10
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Code Review Request,Requested,Proposed,1
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Code Review Request,Closed,Completed,2
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Code Review Response,Requested,Proposed,1
7e8eb1b9-d3ab-4504-9c89-0a8b4d98d7d6,DTox,Code Review Response,Accepted,InProgress,2
