Project ID,Project Name,WIT Name,State Name,State Category,State Order
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Task,To Do,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Task,In Progress,InProgress,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Task,Done,Completed,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Task,Removed,Removed,4
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Bug,New,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Bug,Discussed,Proposed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Bug,In Progress,InProgress,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Bug,Done,Completed,4
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Bug,Removed,Removed,5
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Code Review Request,Requested,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Code Review Request,Closed,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Code Review Response,Requested,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Code Review Response,Accepted,InProgress,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Code Review Response,Closed,Completed,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Epic,New,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Epic,In Progress,InProgress,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Epic,Done,Completed,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Epic,Removed,Removed,4
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feature,New,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feature,In Progress,InProgress,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feature,Done,Completed,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feature,Removed,Removed,4
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feedback Request,Active,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feedback Request,Closed,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feedback Request,Removed,Removed,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feedback Response,Active,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Feedback Response,Closed,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Impediment,Open,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Impediment,Closed,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Product Backlog Item,New,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Product Backlog Item,Discussed,Proposed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Product Backlog Item,In Progress,InProgress,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Product Backlog Item,Done,Completed,4
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Product Backlog Item,Removed,Removed,5
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Shared Steps,Active,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Shared Steps,Closed,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Shared Parameter,Active,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Shared Parameter,Inactive,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Case,Design,Proposed,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Case,Ready,InProgress,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Case,Closed,Completed,3
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Plan,Active,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Plan,Inactive,Completed,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Suite,In Planning,InProgress,1
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Suite,In Progress,InProgress,2
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Test Suite,Completed,Completed,3
