Project ID,Project Name,Team ID,Team Name,Bug Behavior,Bug Behavior Label,Working Days,Backlog Iteration Path,Default Iteration Path,Default Iteration Macro,Initiatives Visible,Epics Visible,Features Visible,Stories Visible
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,d9f66ee7-8ae2-4192-8a81-eaecca100f54,DGE,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,e66f86a5-bc51-45cb-bb14-ab9db1767df6,Identity Manager (M),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,4f93a2ef-1719-4837-b0ea-4099b8f1489b,Identity Manager ( Accolite ),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,3c0b5302-42a5-4802-b098-420971b09abc,Identity Manager Core (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",\Core,\Core\Semantic Version\9.3.2,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,3285c027-6cc4-4beb-8005-2ac27e507d8f,Identity Manager Database,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,a28bcdb8-b3a0-4702-88da-e1b8c093e0eb,Identity Manager Feed Contributors,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,51732a9b-0e28-4b4d-8f42-3e4737a33824,Identity Manager Modules (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Connector Modules\Sprint 267,@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,87438781-dca5-4bfb-9533-ee097b9b7f40,Identity Manager Modules (M),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,687b09ae-7d33-40e3-9a42-ae7294eea1fe,Identity Manager Release Approvers,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,391b87ba-4a4b-4a52-8188-0056b727f18e,Identity Manager VPT,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,0ba2a2ff-7a80-4907-a278-ef5877f1918c,Identity Manager Web (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",\Web,\Web\2026\2026-Q1\Sprint 2026-06 (03-18),@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,bc37e045-4fdb-4132-9737-7837fb379928,IMX Test Automation,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Web\2024\Sprint 2024-26 (18.12.),@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,dd215ebf-0581-4079-9dc2-0c4d0a6120c2,OneIM Germany,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,1b4db05d-c410-49c6-9bd1-47624024f4d6,OneIM Hungary,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,3dadd666-9d98-4732-9143-31b31035dda9,OneIM OSP,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\OSP\Sprint 117,@currentIteration,,True,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,9e1ff299-2167-4d6e-b258-16a91d5a5af4,TechComm Modules,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",\Connector Modules,\Connector Modules\Sprint 267,@currentIteration,,False,True,True
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,05e4e42d-a9a1-4fe7-8091-8ad74d5e14d2,Tech Comm,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Web,@currentIteration,,False,True,True
