Project ID,Project Name,WIT Name,State Name,State Category,State Order
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Task,To Do,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Task,In Progress,InProgress,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Task,Done,Completed,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Task,Removed,Removed,4
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Bug,New,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Bug,Approved,Proposed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Bug,Committed,InProgress,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Bug,Done,Completed,4
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Bug,Removed,Removed,5
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Code Review Request,Requested,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Code Review Request,Closed,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Code Review Response,Requested,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Code Review Response,Accepted,InProgress,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Code Review Response,Closed,Completed,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Epic,New,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Epic,In Progress,InProgress,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Epic,Done,Completed,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Epic,Removed,Removed,4
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feature,New,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feature,In Progress,InProgress,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feature,Done,Completed,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feature,Removed,Removed,4
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feedback Request,Active,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feedback Request,Closed,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feedback Request,Removed,Removed,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feedback Response,Active,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Feedback Response,Closed,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Impediment,Open,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Impediment,Closed,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Product Backlog Item,New,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Product Backlog Item,Approved,Proposed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Product Backlog Item,Committed,InProgress,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Product Backlog Item,Done,Completed,4
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Product Backlog Item,Removed,Removed,5
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Shared Steps,Active,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Shared Steps,Closed,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Shared Parameter,Active,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Shared Parameter,Inactive,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Case,Design,Proposed,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Case,Ready,InProgress,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Case,Closed,Completed,3
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Plan,Active,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Plan,Inactive,Completed,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Suite,In Planning,InProgress,1
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Suite,In Progress,InProgress,2
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,Test Suite,Completed,Completed,3
