Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID,1,10370,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\TechOps (M),2,10460,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\TechOps (M)\DBA,3,10485,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\TechOps (M)\DevOps,3,10486,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\TechOps (M)\SRE,3,10487,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\TechOps (M)\TechOps,3,10560,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\Security (D),2,10562,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\Security (M),2,10563,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\TechOps EU (D),2,11097,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\Product Team,2,11125,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete,2,11167,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Escalations (S),3,10397,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Operations-D,3,10402,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\SysLog Ng (D),3,10415,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Endpoint (D),3,10424,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\PAM (M),3,10456,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\SysLog Ng (M),3,10457,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Operations (M),3,10458,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Endpoint (M),3,10459,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Endpoint (M)\Desktop,4,10491,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Endpoint (M)\Launcher,4,10492,,
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Area,OID\ToDelete\Endpoint (M)\Protect,4,10493,,
