Project ID,Project Name,Team ID,Team Name,Bug Behavior,Bug Behavior Label,Working Days,Backlog Iteration Path,Default Iteration Path,Default Iteration Macro,Initiatives Visible,Epics Visible,Features Visible,Stories Visible
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,9afe4d3f-774f-473f-8233-d1abdc85f3ea,Active Roles,asTasks,With Tasks,"monday, tuesday, wednesday, thursday, friday",,,,False,True,True,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,7d141f98-2d8f-40ef-8978-8ae53bdea157,CAB (D),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,f1b44b32-12cc-4ecb-b437-b62e212d4f5d,CipherBlock (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\2025\2025-Q4,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,dadbd189-f389-4b71-92ef-99042992d4a7,CipherBlock (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,c07ac90f-20d4-493a-8e7b-e80ba2b1d0be,Customer Support,asTasks,With Tasks,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,a00fd00f-ed5b-4b4e-91ca-47a912e29dc9,DBA (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,b1f10780-ad66-42d0-96f4-46ff774383ef,DevOps (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,7f5006fa-7840-4aa8-9975-93055a6c3dee,Endpoint (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\2025\2025-Q4,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,34298b21-810c-470c-8b87-22182bb40521,Endpoint (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,\2026\2026-Q1,@currentIteration,False,True,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,57ed82da-6b72-4634-a584-f607d087f815,Engineering Projects (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,31cbc8ce-de8d-47ee-9856-dbebc01b257f,Engineering Projects (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,\2025\2025-Q4,@currentIteration,False,False,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,261df4f4-9280-4eac-b694-d8d4f10a9cbf,Escalations,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,fbb9a804-f2b5-48c4-a031-4815e0cfd52f,Executive (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,\2026\2026-Q1,@currentIteration,False,False,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,ff44bdb4-8377-48b5-9b01-b1cc2bdb41e9,Gryffindor (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,55221a67-e9ac-42e9-b938-23cf882abcaf,Gryffindor (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,40dc9296-c519-406d-90f9-d9068ae9befd,Guardian (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,3d57e6d5-e686-4704-af63-4364a10f122b,Guardian (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,17627739-32e0-45c9-90ff-93c5a5174480,Management Plane,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,True,True,True,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,8cd785cd-777c-43ed-8353-5a9437d423aa,OL-Admin,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Unscheduled\Backlog,,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,00ad095b-e193-4bb2-9103-ca6bf5f04904,OL-DevEx,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Unscheduled\Backlog,,True,True,True,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,a28652f8-4ac6-447f-8be9-10d98f3be7eb,OneLogin (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\2025\2025-Q4\Sprint 16,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,69b9f993-44bc-4466-a879-3b1e57aa3e7f,OneLogin (M),asTasks,With Tasks,"monday, tuesday, wednesday, thursday, friday",,\2026\BG Phase 2a - Prod Consolidation,@currentIteration,False,True,True,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,969c5142-9089-45ec-85f1-f3fd3de9a704,PAM (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\2025\2025-Q4\Sprint 16,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,acf26832-8277-4db4-ae49-479c3f39a124,PAM (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,\2026\2026-Q1,@currentIteration,False,False,True,False
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,7a57f0ae-b067-470a-b84b-673ec5efa1e7,Platform Engineering (D),asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,False,True
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,804388ab-c667-4aa9-a505-2b278af5cc4e,Platform Engineering (M),off,Not on Backlogs,"monday, tuesday, wednesday, thursday, friday",,\2026\2026-Q1,@currentIteration,False,True,True,False
