Project ID,Project Name,WIT Name,State Name,State Category,State Order
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,New,Proposed,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,Waiting,Proposed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,Ready,Proposed,3
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,Active,InProgress,4
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,Validating,Resolved,5
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,Closed,Completed,6
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Bug,Removed,Removed,7
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Code Review Request,Requested,Proposed,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Code Review Request,Closed,Completed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Code Review Response,Requested,Proposed,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Code Review Response,Accepted,InProgress,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Code Review Response,Closed,Completed,3
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,New,Proposed,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,Waiting,Proposed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,Ready,Proposed,3
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,Active,InProgress,4
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,Validating,Resolved,5
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,Closed,Completed,6
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Epic,Removed,Removed,7
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,New,Proposed,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,Waiting,Proposed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,Ready,Proposed,3
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,Active,InProgress,4
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,Validating,Resolved,5
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,Closed,Completed,6
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feature,Removed,Removed,7
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feedback Request,Active,InProgress,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feedback Request,Closed,Completed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feedback Request,Removed,Removed,3
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feedback Response,Active,InProgress,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Feedback Response,Closed,Completed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Shared Steps,Active,InProgress,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Shared Steps,Closed,Completed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Task,New,Proposed,1
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Task,Ready,Proposed,2
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Task,Active,InProgress,3
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Task,Validating,Resolved,4
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Task,Closed,Completed,5
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Task,Removed,Removed,6
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,Test Case,Design,Proposed,1
