Project ID,Project Name,WIT Name,State Name,State Category,State Order
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Task,To Do,Proposed,1
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Task,In Progress,InProgress,2
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Task,Done,Completed,3
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Task,Removed,Removed,4
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,New,Proposed,1
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Approved,Proposed,2
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Committed,InProgress,3
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Implementing,InProgress,4
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Ready for Test,InProgress,5
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Testing on DevTest,InProgress,6
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Tested on DevTest,InProgress,7
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Tested on Stage,InProgress,8
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Done,Completed,9
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Bug,Removed,Removed,10
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Code Review Request,Requested,Proposed,1
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Code Review Request,Closed,Completed,2
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Code Review Response,Requested,Proposed,1
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Code Review Response,Accepted,InProgress,2
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Code Review Response,Closed,Completed,3
