Project ID,Project Name,WIT Name,State Name,State Category,State Order
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Task,To Do,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Task,In Progress,InProgress,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Task,Done,Completed,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Task,Removed,Removed,4
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,New,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Approved,Proposed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Committed,InProgress,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Implementing,InProgress,4
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Ready for Test,InProgress,5
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Testing on DevTest,InProgress,6
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Tested on DevTest,InProgress,7
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Tested on Stage,InProgress,8
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Done,Completed,9
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Bug,Removed,Removed,10
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Code Review Request,Requested,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Code Review Request,Closed,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Code Review Response,Requested,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Code Review Response,Accepted,InProgress,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Code Review Response,Closed,Completed,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Epic,New,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Epic,In Progress,InProgress,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Epic,Done,Completed,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Epic,Removed,Removed,4
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,New,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,In Progress,InProgress,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Prioritized,InProgress,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Grooming,InProgress,4
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Awaiting Architecture Review,InProgress,5
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Reviewed,InProgress,6
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Implementing,InProgress,7
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Completed,InProgress,8
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Done,Completed,9
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feature,Removed,Removed,10
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feedback Request,Active,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feedback Request,Closed,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feedback Request,Removed,Removed,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feedback Response,Active,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Feedback Response,Closed,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Impediment,Open,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Impediment,Closed,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,New,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Approved,Proposed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Committed,InProgress,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Implementing,InProgress,4
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Ready for Test,InProgress,5
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Testing on DevTest,InProgress,6
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Tested on DevTest,InProgress,7
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Tested on Stage,InProgress,8
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Done,Completed,9
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Product Backlog Item,Removed,Removed,10
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Shared Steps,Active,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Shared Steps,Closed,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Shared Parameter,Active,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Shared Parameter,Inactive,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Case,Design,Proposed,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Case,Ready,InProgress,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Case,Closed,Completed,3
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Plan,Active,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Plan,Inactive,Completed,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Suite,In Planning,InProgress,1
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Suite,In Progress,InProgress,2
a9113621-04e8-44df-a0d0-c624b9245634,Operations,Test Suite,Completed,Completed,3
