Project ID,Project Name,WIT Name,State Name,State Category,State Order
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Task,To Do,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Task,In Progress,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Task,Done,Completed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Task,Removed,Removed,4
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,New,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Approved,Proposed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Committed,InProgress,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Implementing,InProgress,4
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Ready for Test,InProgress,5
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Testing on DevTest,InProgress,6
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Tested on DevTest,InProgress,7
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Tested on Stage,InProgress,8
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Done,Completed,9
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Bug,Removed,Removed,10
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Code Review Request,Requested,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Code Review Request,Closed,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Code Review Response,Requested,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Code Review Response,Accepted,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Code Review Response,Closed,Completed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Epic,New,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Epic,In Progress,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Epic,Done,Completed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Epic,Removed,Removed,4
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,New,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,In Progress,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Prioritized,InProgress,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Grooming,InProgress,4
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Awaiting Architecture Review,InProgress,5
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Reviewed,InProgress,6
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Implementing,InProgress,7
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Completed,InProgress,8
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Done,Completed,9
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feature,Removed,Removed,10
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feedback Request,Active,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feedback Request,Closed,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feedback Request,Removed,Removed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feedback Response,Active,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Feedback Response,Closed,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Impediment,Open,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Impediment,Closed,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,New,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Approved,Proposed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Committed,InProgress,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Implementing,InProgress,4
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Ready for Test,InProgress,5
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Testing on DevTest,InProgress,6
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Tested on DevTest,InProgress,7
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Tested on Stage,InProgress,8
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Done,Completed,9
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Product Backlog Item,Removed,Removed,10
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Shared Steps,Active,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Shared Steps,Closed,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Shared Parameter,Active,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Shared Parameter,Inactive,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Case,Design,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Case,Ready,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Case,Closed,Completed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Plan,Active,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Plan,Inactive,Completed,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Suite,In Planning,InProgress,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Suite,In Progress,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Test Suite,Completed,Completed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,User Story,New,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,User Story,Committed,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,User Story,Done,Completed,3
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Initiative,New,Proposed,1
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Initiative,Committed,InProgress,2
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Initiative,Done,Completed,3
