Project ID,Project Name,Team ID,Team Name,Board ID,Board Name,Column ID,Column Name,Column Order,State Mapping,WIP Limit,Split Column
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,024f17f5-5f20-468e-afb4-038800d82468,New,1,New,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,a0842a74-c12a-4779-a68c-0499cb93155f,Approved,2,Approved,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,7349c9e5-a3ac-4953-a436-85e2dc46a52f,Development,3,Development,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,2e6b9380-ba35-485c-bb4e-8bcef95b5abb,Ready to test,4,Ready to test,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,bfc7f9a3-045e-4324-95d2-0f306d67beae,Document,5,Document,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,6e992174-b641-404a-b586-0b54d1464b29,Blocked,6,Blocked,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Privilege_Manager_Team_Backlog,6f908c89-e19a-4938-a342-a260574d1912,Backlog items,f3754a2a-e29f-417d-9537-339e8649000c,Done,7,Done,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,23c00a36-0cad-45a5-87d4-d92e679d8c10,Epics,c22339ba-5796-4c5b-8a80-a8c7164f1273,New,1,New,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,23c00a36-0cad-45a5-87d4-d92e679d8c10,Epics,e8ec891c-4bb6-4beb-a6cf-79e9cae4e417,In Progress,2,In Progress,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,23c00a36-0cad-45a5-87d4-d92e679d8c10,Epics,563aa05c-f1bc-4963-a463-36e37ea7f743,Done,3,Done,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,83ccdadc-7d83-49ab-be50-405d5405ed35,Features,4fa8d56d-625e-4ac8-b458-7a55c734ddc1,New,1,New,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,83ccdadc-7d83-49ab-be50-405d5405ed35,Features,86b34b38-8ff3-4f71-af22-61fcff472428,In Progress,2,In Progress,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,83ccdadc-7d83-49ab-be50-405d5405ed35,Features,2928c33b-2f0d-47e9-8738-8c073237957f,Blocked,3,Blocked,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,4ef91d7b-7439-4185-9887-753f68eec5e8,Privilege Manager Team,83ccdadc-7d83-49ab-be50-405d5405ed35,Features,0ff0a742-ccb9-4169-a640-c2e442056419,Done,4,Done,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Technical_Writers_Backlog,96d397e0-3a83-4d5a-8f96-83bd63f09a13,Backlog items,f7514322-90b7-4547-8f3d-1130fb1329b3,New,1,New,0,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Technical_Writers_Backlog,96d397e0-3a83-4d5a-8f96-83bd63f09a13,Backlog items,3d8c5c90-319a-43d6-9338-cf18e48234fd,Approved,2,Approved,5,False
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,,Technical_Writers_Backlog,96d397e0-3a83-4d5a-8f96-83bd63f09a13,Backlog items,e710de9f-ef48-4ae4-8807-8ea8da30acd7,Development,3,Development,5,False
