Project ID,Project Name,WIT Name,State Name,State Category,State Order
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Task,To Do,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Task,In Progress,InProgress,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Task,Blocked,InProgress,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Task,Done,Completed,4
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Task,Removed,Removed,5
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,New,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Approved,Proposed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Development,InProgress,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Ready to test,InProgress,4
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Document,InProgress,5
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Blocked,InProgress,6
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Done,Completed,7
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Bug,Removed,Removed,8
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Code Review Request,Requested,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Code Review Request,Closed,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Code Review Response,Requested,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Code Review Response,Accepted,InProgress,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Code Review Response,Closed,Completed,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Epic,New,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Epic,In Progress,InProgress,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Epic,Done,Completed,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Epic,Removed,Removed,4
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feature,New,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feature,In Progress,InProgress,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feature,Blocked,InProgress,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feature,Done,Completed,4
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feature,Removed,Removed,5
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feedback Request,Active,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feedback Request,Closed,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feedback Request,Removed,Removed,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feedback Response,Active,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Feedback Response,Closed,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Impediment,Open,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Impediment,Closed,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,New,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Approved,Proposed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Planning,Proposed,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Development,InProgress,4
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Ready to test,InProgress,5
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Document,InProgress,6
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Blocked,InProgress,7
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Done,Completed,8
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Product Backlog Item,Removed,Removed,9
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Shared Steps,Active,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Shared Steps,Closed,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Shared Parameter,Active,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Shared Parameter,Inactive,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Case,Design,Proposed,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Case,Ready,InProgress,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Case,Closed,Completed,3
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Plan,Active,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Plan,Inactive,Completed,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Suite,In Planning,InProgress,1
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Suite,In Progress,InProgress,2
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Test Suite,Completed,Completed,3
