Project ID,Project Name,WIT Name,State Name,State Category,State Order
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Task,To Do,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Task,In Progress,InProgress,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Task,Done,Completed,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Task,Removed,Removed,4
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Bug,New,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Bug,Approved,Proposed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Bug,Committed,InProgress,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Bug,Done,Completed,4
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Bug,Removed,Removed,5
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Code Review Request,Requested,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Code Review Request,Closed,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Code Review Response,Requested,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Code Review Response,Accepted,InProgress,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Code Review Response,Closed,Completed,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Epic,New,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Epic,In Progress,InProgress,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Epic,Done,Completed,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Epic,Removed,Removed,4
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feature,New,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feature,In Progress,InProgress,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feature,Done,Completed,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feature,Removed,Removed,4
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feedback Request,Active,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feedback Request,Closed,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feedback Request,Removed,Removed,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feedback Response,Active,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Feedback Response,Closed,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Impediment,Open,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Impediment,Closed,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Product Backlog Item,New,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Product Backlog Item,Approved,Proposed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Product Backlog Item,Committed,InProgress,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Product Backlog Item,Done,Completed,4
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Product Backlog Item,Removed,Removed,5
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Shared Steps,Active,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Shared Steps,Closed,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Shared Parameter,Active,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Shared Parameter,Inactive,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Case,Design,Proposed,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Case,Ready,InProgress,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Case,Closed,Completed,3
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Plan,Active,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Plan,Inactive,Completed,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Suite,In Planning,InProgress,1
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Suite,In Progress,InProgress,2
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Test Suite,Completed,Completed,3
