Project ID,Project Name,Team ID,Team Name,Backlog ID,Backlog Level Name,Rank,Work Item Count Limit
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,8504b3eb-1a41-4cb8-b44b-20444d86977a,Admins,Microsoft.EpicCategory,Epics,4,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,8504b3eb-1a41-4cb8-b44b-20444d86977a,Admins,Microsoft.FeatureCategory,Features,3,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,8504b3eb-1a41-4cb8-b44b-20444d86977a,Admins,Microsoft.RequirementCategory,Backlog items,2,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,8504b3eb-1a41-4cb8-b44b-20444d86977a,Admins,Microsoft.TaskCategory,Tasks,1,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,0ec9fd52-f474-44e9-a2e7-335b82fc6f99,Safeguard Limited Access,Microsoft.EpicCategory,Epics,4,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,0ec9fd52-f474-44e9-a2e7-335b82fc6f99,Safeguard Limited Access,Microsoft.FeatureCategory,Features,3,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,0ec9fd52-f474-44e9-a2e7-335b82fc6f99,Safeguard Limited Access,Microsoft.RequirementCategory,Backlog items,2,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,0ec9fd52-f474-44e9-a2e7-335b82fc6f99,Safeguard Limited Access,Microsoft.TaskCategory,Tasks,1,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,82ec763b-b65a-4569-8c07-fa5347f82f73,Safeguard Privileged Passwords Team,Microsoft.EpicCategory,Epics,4,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,82ec763b-b65a-4569-8c07-fa5347f82f73,Safeguard Privileged Passwords Team,Microsoft.FeatureCategory,Features,3,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,82ec763b-b65a-4569-8c07-fa5347f82f73,Safeguard Privileged Passwords Team,Microsoft.RequirementCategory,Backlog items,2,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,82ec763b-b65a-4569-8c07-fa5347f82f73,Safeguard Privileged Passwords Team,Microsoft.TaskCategory,Tasks,1,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,b53ff0cd-48a9-4bd4-912f-3c2dc654d0f7,Shared UI,Microsoft.EpicCategory,Epics,4,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,b53ff0cd-48a9-4bd4-912f-3c2dc654d0f7,Shared UI,Microsoft.FeatureCategory,Features,3,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,b53ff0cd-48a9-4bd4-912f-3c2dc654d0f7,Shared UI,Microsoft.RequirementCategory,Backlog items,2,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,b53ff0cd-48a9-4bd4-912f-3c2dc654d0f7,Shared UI,Microsoft.TaskCategory,Tasks,1,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,7f6acaf4-e395-4cb3-90a3-c5e719d7f13e,SPS Team,Microsoft.EpicCategory,Epics,4,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,7f6acaf4-e395-4cb3-90a3-c5e719d7f13e,SPS Team,Microsoft.FeatureCategory,Features,3,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,7f6acaf4-e395-4cb3-90a3-c5e719d7f13e,SPS Team,Microsoft.RequirementCategory,Backlog items,2,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,7f6acaf4-e395-4cb3-90a3-c5e719d7f13e,SPS Team,Microsoft.TaskCategory,Tasks,1,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,f7876e1a-39c5-467d-9330-f0d6c353a54f,Technical Writers,Microsoft.EpicCategory,Epics,4,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,f7876e1a-39c5-467d-9330-f0d6c353a54f,Technical Writers,Microsoft.FeatureCategory,Features,3,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,f7876e1a-39c5-467d-9330-f0d6c353a54f,Technical Writers,Microsoft.RequirementCategory,Backlog items,2,1000
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,f7876e1a-39c5-467d-9330-f0d6c353a54f,Technical Writers,Microsoft.TaskCategory,Tasks,1,1000
