Project ID,Project Name,WIT Name,State Name,State Category,State Order
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,New,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,Waiting,Proposed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,Ready,Proposed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,Active,InProgress,4
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,Validating,Resolved,5
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,Closed,Completed,6
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Bug,Removed,Removed,7
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Code Review Request,Requested,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Code Review Request,Closed,Completed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Code Review Response,Requested,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Code Review Response,Accepted,InProgress,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Code Review Response,Closed,Completed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,New,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,Waiting,Proposed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,Ready,Proposed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,Active,InProgress,4
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,Validating,Resolved,5
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,Closed,Completed,6
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Epic,Removed,Removed,7
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,New,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,Waiting,Proposed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,Ready,Proposed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,Active,InProgress,4
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,Validating,Resolved,5
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,Closed,Completed,6
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feature,Removed,Removed,7
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feedback Request,Active,InProgress,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feedback Request,Closed,Completed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feedback Request,Removed,Removed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feedback Response,Active,InProgress,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Feedback Response,Closed,Completed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Shared Steps,Active,InProgress,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Shared Steps,Closed,Completed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Task,New,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Task,Ready,Proposed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Task,Active,InProgress,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Task,Validating,Resolved,4
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Task,Closed,Completed,5
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Task,Removed,Removed,6
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Case,Design,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Case,Ready,InProgress,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Case,Closed,Completed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Plan,Active,InProgress,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Plan,Inactive,Completed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Suite,In Planning,InProgress,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Suite,In Progress,InProgress,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Test Suite,Completed,Completed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,New,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,Waiting,Proposed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,Ready,Proposed,3
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,Active,InProgress,4
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,Validating,Resolved,5
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,Closed,Completed,6
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,User Story,Removed,Removed,7
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Issue,New,Proposed,1
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Issue,Waiting,Proposed,2
d8ec4489-4769-4dcb-b225-4f63e4cb18f8,SBox-OID-Aha,Issue,Ready,Proposed,3
