Project ID,Project Name,WIT Name,State Name,State Category,State Order
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,New,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,Waiting,Proposed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,Ready,Proposed,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,Active,InProgress,4
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,Validating,Resolved,5
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,Closed,Completed,6
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Bug,Removed,Removed,7
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Code Review Request,Requested,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Code Review Request,Closed,Completed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Code Review Response,Requested,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Code Review Response,Accepted,InProgress,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Code Review Response,Closed,Completed,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,New,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,Waiting,Proposed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,Ready,Proposed,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,Active,InProgress,4
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,Validating,Resolved,5
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,Closed,Completed,6
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Epic,Removed,Removed,7
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,New,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,Waiting,Proposed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,Ready,Proposed,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,Active,InProgress,4
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,Validating,Resolved,5
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,Closed,Completed,6
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feature,Removed,Removed,7
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feedback Request,Active,InProgress,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feedback Request,Closed,Completed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feedback Request,Removed,Removed,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feedback Response,Active,InProgress,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Feedback Response,Closed,Completed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Shared Steps,Active,InProgress,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Shared Steps,Closed,Completed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Task,New,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Task,Ready,Proposed,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Task,Active,InProgress,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Task,Validating,Resolved,4
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Task,Closed,Completed,5
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Task,Removed,Removed,6
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Test Case,Design,Proposed,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Test Case,Ready,InProgress,2
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Test Case,Closed,Completed,3
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Test Plan,Active,InProgress,1
fdd8ef3b-b602-49f2-978f-e86458413170,SBox-OID-FeatureEpic,Test Plan,Inactive,Completed,2
