Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration,1,11297,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering,2,11301,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Management Plane,3,11299,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard,3,11303,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\SPP,4,11298,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\SGOD,4,11300,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\Endpoints,4,11304,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\SAS,4,11305,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\SPS,4,11306,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\SRA,4,12201,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Safeguard\Assets,4,12205,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Active Roles,3,11307,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Identity Manager,3,11308,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Identity Manager\IMOD,4,12200,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\OneLogin,3,11309,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Archive,3,11912,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\Connectors,3,12204,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\Engineering\AI,3,12206,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Area,SBox-OID-Migration\UX,2,12299,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration,1,11292,,
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated,2,11626,2016-01-04T00:00:00Z,2016-01-17T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling,3,11627,2016-01-04T00:00:00Z,2016-01-17T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 01,4,11628,2016-01-04T00:00:00Z,2016-01-17T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 02,4,11629,2016-01-18T00:00:00Z,2016-01-31T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 03,4,11630,2016-02-01T00:00:00Z,2016-02-14T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 04,4,11631,2016-02-15T00:00:00Z,2016-02-28T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 05,4,11632,2016-02-29T00:00:00Z,2016-03-13T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 06,4,11633,2016-03-14T00:00:00Z,2016-03-27T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 07,4,11634,2016-03-28T00:00:00Z,2016-04-10T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 08,4,11635,2016-04-11T00:00:00Z,2016-04-24T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 09,4,11636,2016-04-25T00:00:00Z,2016-05-06T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 10,4,11637,2016-05-09T00:00:00Z,2016-05-20T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 11,4,11638,2016-05-23T00:00:00Z,2016-06-03T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 12,4,11639,2016-06-06T00:00:00Z,2016-06-17T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 13,4,11640,2016-06-20T00:00:00Z,2016-07-01T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 14,4,11641,2016-07-04T00:00:00Z,2016-07-15T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 15,4,11642,2016-07-18T00:00:00Z,2016-07-29T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 16,4,11643,2016-08-01T00:00:00Z,2016-08-12T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 17,4,11644,2016-08-15T00:00:00Z,2016-08-26T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 18,4,11645,2016-08-29T00:00:00Z,2016-09-09T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 19,4,11646,2016-09-12T00:00:00Z,2016-09-23T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 20,4,11647,2016-09-26T00:00:00Z,2016-10-07T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 21,4,11648,2016-10-10T00:00:00Z,2016-10-21T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 22,4,11649,2016-10-24T00:00:00Z,2016-11-04T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 23,4,11650,2016-11-07T00:00:00Z,2016-11-18T00:00:00Z
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Iteration,SBox-OID-Migration\Migrated\Starling\Sprint 24,4,11651,2016-11-21T00:00:00Z,2016-12-02T00:00:00Z
