Project ID,Project Name,WIT Name,State Name,State Category,State Order
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,New,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,Waiting,Proposed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,Ready,Proposed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,Active,InProgress,4
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,Validating,Resolved,5
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,Closed,Completed,6
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Bug,Removed,Removed,7
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Code Review Request,Requested,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Code Review Request,Closed,Completed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Code Review Response,Requested,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Code Review Response,Accepted,InProgress,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Code Review Response,Closed,Completed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,New,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,Waiting,Proposed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,Ready,Proposed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,Active,InProgress,4
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,Validating,Resolved,5
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,Closed,Completed,6
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Epic,Removed,Removed,7
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,New,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,Waiting,Proposed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,Ready,Proposed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,Active,InProgress,4
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,Validating,Resolved,5
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,Closed,Completed,6
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feature,Removed,Removed,7
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feedback Request,Active,InProgress,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feedback Request,Closed,Completed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feedback Request,Removed,Removed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feedback Response,Active,InProgress,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Feedback Response,Closed,Completed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Shared Steps,Active,InProgress,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Shared Steps,Closed,Completed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Task,New,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Task,Ready,Proposed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Task,Active,InProgress,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Task,Validating,Resolved,4
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Task,Closed,Completed,5
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Task,Removed,Removed,6
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Case,Design,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Case,Ready,InProgress,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Case,Closed,Completed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Plan,Active,InProgress,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Plan,Inactive,Completed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Suite,In Planning,InProgress,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Suite,In Progress,InProgress,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Test Suite,Completed,Completed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,New,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,Waiting,Proposed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,Ready,Proposed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,Active,InProgress,4
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,Validating,Resolved,5
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,Closed,Completed,6
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,User Story,Removed,Removed,7
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Issue,New,Proposed,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Issue,Waiting,Proposed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Issue,Ready,Proposed,3
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Issue,Active,InProgress,4
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Issue,Validating,Resolved,5
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Issue,Closed,Completed,6
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Shared Parameter,Active,InProgress,1
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,Shared Parameter,Inactive,Completed,2
91c39616-97bf-48ef-8cbb-72148c0a6192,SBox-OID-Migration,System Change,New,Proposed,1
