Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Area,Shield,1,5718,,
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Area,Shield\Shield Guests,2,5837,,
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield,1,5710,,
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.04,2,6548,2021-03-01T00:00:00Z,2021-04-23T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.04\Sprint 1,3,6549,2021-03-01T00:00:00Z,2021-03-12T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.04\Sprint 2,3,6550,2021-03-15T00:00:00Z,2021-03-26T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.04\Sprint 3,3,6551,2021-03-29T00:00:00Z,2021-04-09T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.04\Sprint 4,3,6552,2021-04-12T00:00:00Z,2021-04-30T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\Future,2,6622,,
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09,2,6695,2021-05-03T00:00:00Z,2021-07-30T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09\Sprint 1,3,6696,2021-05-03T00:00:00Z,2021-05-14T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09\Sprint 2,3,6697,2021-05-17T00:00:00Z,2021-05-28T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09\Sprint 3,3,6698,2021-05-31T00:00:00Z,2021-06-11T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09\Sprint 4,3,6699,2021-06-14T00:00:00Z,2021-06-25T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09\Sprint 5,3,6700,2021-06-28T00:00:00Z,2021-07-09T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.09\Sprint 6,3,6701,2021-07-12T00:00:00Z,2021-07-30T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12,2,6858,2021-08-02T00:00:00Z,2021-11-05T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 1,3,6859,2021-08-02T00:00:00Z,2021-08-13T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 2,3,6860,2021-08-16T00:00:00Z,2021-08-27T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 3,3,6861,2021-08-30T00:00:00Z,2021-09-10T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 4,3,6862,2021-09-13T00:00:00Z,2021-09-24T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 5,3,6863,2021-09-27T00:00:00Z,2021-10-08T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 6,3,6864,2021-10-11T00:00:00Z,2021-10-22T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2021.12\Sprint 7 (Freeze),3,6865,2021-10-25T00:00:00Z,2021-11-05T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03,2,6956,2021-11-08T00:00:00Z,2022-02-04T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 1,3,6957,2021-11-08T00:00:00Z,2021-11-19T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 2,3,6958,2021-11-22T00:00:00Z,2021-12-03T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 3,3,6959,2021-12-06T00:00:00Z,2021-12-17T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 4,3,6960,2021-12-20T00:00:00Z,2021-12-31T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 5,3,6961,2022-01-03T00:00:00Z,2022-01-14T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 6 (Freeze),3,6962,2022-01-17T00:00:00Z,2022-01-28T00:00:00Z
907bfa5b-1c8f-4f17-b772-8afc5b430e4d,Shield,Iteration,Shield\2022.03\Sprint 7 (Release Test),3,6963,2022-01-31T00:00:00Z,2022-02-04T00:00:00Z
