Project ID,Project Name,Team ID,Team Name,Backlog ID,Backlog Level Name,Rank,Work Item Count Limit
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,6f22775a-5b53-4c0d-b6ff-d95d0a6be1cc,A-Team,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,6f22775a-5b53-4c0d-b6ff-d95d0a6be1cc,A-Team,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,6f22775a-5b53-4c0d-b6ff-d95d0a6be1cc,A-Team,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,6f22775a-5b53-4c0d-b6ff-d95d0a6be1cc,A-Team,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,e59a422c-6695-4c49-a0c4-27111599b5dd,Bug backlog,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,e59a422c-6695-4c49-a0c4-27111599b5dd,Bug backlog,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,e59a422c-6695-4c49-a0c4-27111599b5dd,Bug backlog,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,e59a422c-6695-4c49-a0c4-27111599b5dd,Bug backlog,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,60949543-7915-4809-a474-6f28bd7eb010,DevEsc,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,60949543-7915-4809-a474-6f28bd7eb010,DevEsc,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,60949543-7915-4809-a474-6f28bd7eb010,DevEsc,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,60949543-7915-4809-a474-6f28bd7eb010,DevEsc,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,efdac06d-01f8-4dcb-9305-db3690a992d8,Documentation,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,efdac06d-01f8-4dcb-9305-db3690a992d8,Documentation,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,efdac06d-01f8-4dcb-9305-db3690a992d8,Documentation,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,efdac06d-01f8-4dcb-9305-db3690a992d8,Documentation,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,3fc3fdef-98ee-4db6-81ea-a0ab68855fd7,Documentation bug backlog,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,3fc3fdef-98ee-4db6-81ea-a0ab68855fd7,Documentation bug backlog,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,3fc3fdef-98ee-4db6-81ea-a0ab68855fd7,Documentation bug backlog,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,3fc3fdef-98ee-4db6-81ea-a0ab68855fd7,Documentation bug backlog,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,518913f0-49bd-4a1b-bd32-aa111673f650,Feature backlog,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,518913f0-49bd-4a1b-bd32-aa111673f650,Feature backlog,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,518913f0-49bd-4a1b-bd32-aa111673f650,Feature backlog,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,518913f0-49bd-4a1b-bd32-aa111673f650,Feature backlog,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,d2d9d2d6-dc71-4720-8643-9562dda6e902,Field Problems,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,d2d9d2d6-dc71-4720-8643-9562dda6e902,Field Problems,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,d2d9d2d6-dc71-4720-8643-9562dda6e902,Field Problems,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,d2d9d2d6-dc71-4720-8643-9562dda6e902,Field Problems,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,15526d18-3294-4f43-a5a6-e54bd2215269,Rangers,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,15526d18-3294-4f43-a5a6-e54bd2215269,Rangers,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,15526d18-3294-4f43-a5a6-e54bd2215269,Rangers,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,15526d18-3294-4f43-a5a6-e54bd2215269,Rangers,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,42d22396-3118-4e07-b39a-f93c23bde377,RedMaster,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,42d22396-3118-4e07-b39a-f93c23bde377,RedMaster,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,42d22396-3118-4e07-b39a-f93c23bde377,RedMaster,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,42d22396-3118-4e07-b39a-f93c23bde377,RedMaster,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,36b981a3-63f6-445e-afd9-4f5f884f0aa5,SPS Team,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,36b981a3-63f6-445e-afd9-4f5f884f0aa5,SPS Team,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,36b981a3-63f6-445e-afd9-4f5f884f0aa5,SPS Team,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,36b981a3-63f6-445e-afd9-4f5f884f0aa5,SPS Team,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,b34c31ae-0a32-47b8-a46c-160510231e65,UX,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,b34c31ae-0a32-47b8-a46c-160510231e65,UX,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,b34c31ae-0a32-47b8-a46c-160510231e65,UX,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,b34c31ae-0a32-47b8-a46c-160510231e65,UX,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,27b980f2-a615-4efb-8729-fb274e9274d6,Virtual QA,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,27b980f2-a615-4efb-8729-fb274e9274d6,Virtual QA,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,27b980f2-a615-4efb-8729-fb274e9274d6,Virtual QA,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,27b980f2-a615-4efb-8729-fb274e9274d6,Virtual QA,Microsoft.TaskCategory,Tasks,1,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,f63de3ef-1df2-4c53-958a-e4122960a790,Watson,Microsoft.EpicCategory,Epics,4,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,f63de3ef-1df2-4c53-958a-e4122960a790,Watson,Microsoft.FeatureCategory,Features,3,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,f63de3ef-1df2-4c53-958a-e4122960a790,Watson,Microsoft.RequirementCategory,Backlog items,2,1000
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,f63de3ef-1df2-4c53-958a-e4122960a790,Watson,Microsoft.TaskCategory,Tasks,1,1000
