Project ID,Project Name,WIT Name,State Name,State Category,State Order
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Task,To Do,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Task,In Progress,InProgress,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Task,Done,Completed,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Task,Removed,Removed,4
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Bug,New,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Bug,Approved,Proposed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Bug,Committed,InProgress,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Bug,Done,Completed,4
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Bug,Removed,Removed,5
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Code Review Request,Requested,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Code Review Request,Closed,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Code Review Response,Requested,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Code Review Response,Accepted,InProgress,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Code Review Response,Closed,Completed,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Epic,New,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Epic,In Progress,InProgress,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Epic,Done,Completed,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Epic,Removed,Removed,4
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feature,New,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feature,In Progress,InProgress,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feature,Done,Completed,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feature,Removed,Removed,4
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feedback Request,Active,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feedback Request,Closed,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feedback Request,Removed,Removed,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feedback Response,Active,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Feedback Response,Closed,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Impediment,Open,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Impediment,Closed,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Product Backlog Item,New,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Product Backlog Item,Approved,Proposed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Product Backlog Item,Committed,InProgress,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Product Backlog Item,Done,Completed,4
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Product Backlog Item,Removed,Removed,5
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Shared Steps,Active,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Shared Steps,Closed,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Shared Parameter,Active,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Shared Parameter,Inactive,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Case,Design,Proposed,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Case,Ready,InProgress,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Case,Closed,Completed,3
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Plan,Active,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Plan,Inactive,Completed,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Suite,In Planning,InProgress,1
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Suite,In Progress,InProgress,2
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Test Suite,Completed,Completed,3
