Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling,1,9,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Operations,2,122,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Operations\Procedural,3,6761,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Connect Core,2,443,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Connect Core\Tech Comm,3,2867,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Connect Connectors,2,444,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Connect Connectors\Tech Comm,3,2868,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Platform,2,499,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Platform\Tech Comm,3,6665,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Platform\Cyclops,3,10319,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Platform\Fiber,3,10320,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Platform\Directory,3,10452,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Tech Comm,2,2865,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Security,2,4742,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Security\Operations,3,6871,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Cloud Assistant,2,6352,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Cloud Assistant\Tech Comm,3,6660,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard On Demand,2,6536,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard On Demand\Tech Comm,3,6664,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard On Demand\ZR,3,6667,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard On Demand\Starling Edition,3,6708,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard On Demand\Classic,3,6735,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard Remote Access,2,7254,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard Remote Access\Plugin Checker,3,5796,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard Remote Access\Remote Access,3,5960,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard Remote Access\Remote Access\Development Escalation,4,6955,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard Remote Access\Tech Comm,3,6666,,
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Area,Starling\Safeguard Remote Access\Stargate,3,7267,,
