Project ID,Project Name,Team ID,Team Name,Bug Behavior,Bug Behavior Label,Working Days,Backlog Iteration Path,Default Iteration Path,Default Iteration Macro,Initiatives Visible,Epics Visible,Features Visible,Stories Visible
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,d5500d2e-9525-44a4-b211-c87087d7517e,Aha Triage Area,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,a607cb41-916d-4f83-b90a-6732284ebeca,AI team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 267,@currentIteration,False,False,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,045ad6e7-b10a-4be9-bcb8-ac973f2422aa,Connect Connectors Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 267,@currentIteration,False,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,93c9433d-e5ff-4072-9d3f-b68a6e8c0350,Connect for Safeguard Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,570efcc3-7c23-4a94-9313-9d19e94ec4c0,Identity Essentials,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,3ed2cc22-14a9-4601-afea-3e8ce2469ef5,IMOD Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,ad81b02b-5cd6-495f-ad2e-a246dde2f8f0,On Demand Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,,False,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,9752be10-4e5a-4119-9fa1-7b33b7297408,PAM Essentials Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\2025,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,57c7769a-7e35-4950-b96e-b45903bf2b4d,PAM,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 218,@currentIteration,False,False,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,95b8b768-4e9e-4e56-86f8-a965fe0f7acc,Platform Engineering Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 254,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,c9f8a05e-997a-4723-8a76-fd88012814c0,Platform Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 183,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,88125c1d-2244-44c3-819e-34d98bfdcc37,Privilege Manager Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,True,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,7d0eb151-14f4-4ab0-9db4-b785ee70ba0a,Product Management,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 165,@currentIteration,False,False,True,False
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,b7bbc46c-1046-4ed5-a6fe-5472dbef5a74,Security Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,True,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,bf0885ba-dd19-4c18-ab74-1118ff449187,TechComm Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,,False,False,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,c319feb8-9916-4804-87ca-f78003e6a9f7,UI Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,False,False,True,True
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,d051a72c-60c6-48b7-8247-894cb6b0dd6c,zCyclops,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\Sprint 253,@currentIteration,False,False,True,True
