Project ID,Project Name,WIT Name,State Name,State Category,State Order
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Task,To Do,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Task,In Progress,InProgress,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Task,Done,Completed,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Task,Removed,Removed,4
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,New,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Approved,Proposed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Committed,InProgress,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Implementing,InProgress,4
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Ready for Test,InProgress,5
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Testing on DevTest,InProgress,6
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Tested on DevTest,InProgress,7
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Tested on Stage,InProgress,8
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Done,Completed,9
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Bug,Removed,Removed,10
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Code Review Request,Requested,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Code Review Request,Closed,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Code Review Response,Requested,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Code Review Response,Accepted,InProgress,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Code Review Response,Closed,Completed,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Epic,New,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Epic,In Progress,InProgress,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Epic,Done,Completed,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Epic,Removed,Removed,4
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,New,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,In Progress,InProgress,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Prioritized,InProgress,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Grooming,InProgress,4
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Awaiting Architecture Review,InProgress,5
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Reviewed,InProgress,6
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Implementing,InProgress,7
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Completed,InProgress,8
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Done,Completed,9
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feature,Removed,Removed,10
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feedback Request,Active,InProgress,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feedback Request,Closed,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feedback Request,Removed,Removed,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feedback Response,Active,InProgress,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Feedback Response,Closed,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Impediment,Open,InProgress,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Impediment,Closed,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,New,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Approved,Proposed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Committed,InProgress,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Implementing,InProgress,4
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Ready for Test,InProgress,5
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Testing on DevTest,InProgress,6
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Tested on DevTest,InProgress,7
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Tested on Stage,InProgress,8
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Done,Completed,9
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Product Backlog Item,Removed,Removed,10
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Shared Steps,Active,InProgress,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Shared Steps,Closed,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Shared Parameter,Active,InProgress,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Shared Parameter,Inactive,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Test Case,Design,Proposed,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Test Case,Ready,InProgress,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Test Case,Closed,Completed,3
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Test Plan,Active,InProgress,1
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Test Plan,Inactive,Completed,2
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Test Suite,In Planning,InProgress,1
