Project ID,Project Name,WIT Name,State Name,State Category,State Order
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Task,To Do,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Task,In Progress,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Task,Done,Completed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Task,Removed,Removed,4
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,New,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Approved,Proposed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Committed,InProgress,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Implementing,InProgress,4
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Ready for Test,InProgress,5
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Testing on DevTest,InProgress,6
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Tested on DevTest,InProgress,7
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Tested on Stage,InProgress,8
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Done,Completed,9
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Bug,Removed,Removed,10
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Code Review Request,Requested,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Code Review Request,Closed,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Code Review Response,Requested,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Code Review Response,Accepted,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Code Review Response,Closed,Completed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Epic,New,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Epic,In Progress,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Epic,Done,Completed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Epic,Removed,Removed,4
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,New,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,In Progress,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Prioritized,InProgress,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Grooming,InProgress,4
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Awaiting Architecture Review,InProgress,5
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Reviewed,InProgress,6
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Implementing,InProgress,7
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Completed,InProgress,8
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Done,Completed,9
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feature,Removed,Removed,10
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feedback Request,Active,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feedback Request,Closed,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feedback Request,Removed,Removed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feedback Response,Active,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Feedback Response,Closed,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Impediment,Open,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Impediment,Closed,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,New,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Approved,Proposed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Committed,InProgress,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Implementing,InProgress,4
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Ready for Test,InProgress,5
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Testing on DevTest,InProgress,6
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Tested on DevTest,InProgress,7
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Tested on Stage,InProgress,8
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Done,Completed,9
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Product Backlog Item,Removed,Removed,10
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Shared Steps,Active,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Shared Steps,Closed,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Shared Parameter,Active,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Shared Parameter,Inactive,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Case,Design,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Case,Ready,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Case,Closed,Completed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Plan,Active,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Plan,Inactive,Completed,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Suite,In Planning,InProgress,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Suite,In Progress,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Test Suite,Completed,Completed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,User Story,New,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,User Story,Committed,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,User Story,Done,Completed,3
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Initiative,New,Proposed,1
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Initiative,Committed,InProgress,2
2090d687-729d-49d5-a387-ba28cf754209,Starling Archive,Initiative,Done,Completed,3
