Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations,1,6276,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Marketing,2,6277,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Pre-Sales,2,6278,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Legal,2,6279,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Product,2,6280,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Alliances,2,6281,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Discovery,2,6289,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Area,Technical Integrations\Project Matterhorn,2,6317,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Iteration,Technical Integrations,1,6268,,
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Iteration,Technical Integrations\Q2,2,6270,2020-05-01T00:00:00Z,2020-07-31T00:00:00Z
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Iteration,Technical Integrations\Q3,2,6271,2020-08-01T00:00:00Z,2020-10-31T00:00:00Z
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Iteration,Technical Integrations\Q4,2,6272,2020-11-01T00:00:00Z,2021-01-31T00:00:00Z
