Project ID,Project Name,WIT Name,State Name,State Category,State Order
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Task,To Do,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Task,In Progress,InProgress,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Task,Done,Completed,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Task,Removed,Removed,4
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Bug,New,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Bug,Approved,Proposed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Bug,Committed,InProgress,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Bug,Done,Completed,4
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Bug,Removed,Removed,5
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Code Review Request,Requested,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Code Review Request,Closed,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Code Review Response,Requested,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Code Review Response,Accepted,InProgress,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Code Review Response,Closed,Completed,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Epic,New,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Epic,In Progress,InProgress,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Epic,Done,Completed,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Epic,Removed,Removed,4
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feature,New,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feature,In Progress,InProgress,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feature,Done,Completed,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feature,Removed,Removed,4
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feedback Request,Active,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feedback Request,Closed,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feedback Request,Removed,Removed,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feedback Response,Active,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Feedback Response,Closed,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Impediment,Open,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Impediment,Closed,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Product Backlog Item,New,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Product Backlog Item,Approved,Proposed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Product Backlog Item,Committed,InProgress,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Product Backlog Item,Done,Completed,4
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Product Backlog Item,Removed,Removed,5
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Shared Steps,Active,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Shared Steps,Closed,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Shared Parameter,Active,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Shared Parameter,Inactive,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Case,Design,Proposed,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Case,Ready,InProgress,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Case,Closed,Completed,3
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Plan,Active,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Plan,Inactive,Completed,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Suite,In Planning,InProgress,1
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Suite,In Progress,InProgress,2
253d1e83-eec3-4691-9c82-1bf5034b67ad,Technical Integrations,Test Suite,Completed,Completed,3
