Project ID,Project Name,WIT Name,State Name,State Category,State Order
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Task,To Do,Proposed,1
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Task,In Progress,InProgress,2
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Task,Done,Completed,3
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Task,Removed,Removed,4
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,New,Proposed,1
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Approved,Proposed,2
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Committed,InProgress,3
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Implementing,InProgress,4
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Ready for Test,InProgress,5
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Testing on DevTest,InProgress,6
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Tested on DevTest,InProgress,7
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Tested on Stage,InProgress,8
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Done,Completed,9
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Bug,Removed,Removed,10
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Code Review Request,Requested,Proposed,1
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Code Review Request,Closed,Completed,2
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Code Review Response,Requested,Proposed,1
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Code Review Response,Accepted,InProgress,2
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Code Review Response,Closed,Completed,3
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Epic,New,Proposed,1
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Epic,In Progress,InProgress,2
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Epic,Done,Completed,3
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Epic,Removed,Removed,4
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Feature,New,Proposed,1
1eb518b2-4cef-4257-802b-7f56201825ab,TPAM,Feature,In Progress,InProgress,2
